CA150,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Tumor
19128380,1355697,13033270,6482453,8909982,367205.3,2229876,10784.4,12132630,2590.36,4455174,1104316,4649551,5850602,11135910,1489641,36541390,2478963,308075,22258500,92600,20711030,19645760,680981.8,6987106,25052280,5435854,53511770,332372.7,60032104,2235311,14542240,4487481,92761140,77396270,1378.409,73148420,3288002,2376386,8486982000,14,25461070,37535100,135595.7,S
13319850,1080553,7176985,4647406,7404299,330046.5,263951.5,19745.6,16388320,16086.52,3115392,1148010,3060146,6443412,10970990,1744777,26631510,1978448,95871.88,15287460,139425,17590490,12474020,159069.7,8929912,36173140,2611912,35385970,654686,49869704,4354101,7922552,6817641,77141140,22409240,5078.182,9838888,3302605,1330853,1993946000,14,19653810,16421770,116031,S
7708885,2024706,8601106,2527428,5459800,332046.4,800889.6,2370.8,16317110,4180.04,4247819,2360598,2000706,9080862,9457454,665926,24906070,2243448,12590.63,12133820,55040,9058892,14217040,177033.3,8629119,29466860,1920918,14724410,293301,43647256,1802797.5,3791797,5455231,23902260,14670430,526.7727,11299680,2523997,2104420,1028965000,14,10082720,17612170,52174.14,S
7171396,2138677,21791550,3141043,6085280,303750.2,1462500,4335.6,16255100,2483.72,5408725,2118257,3987410,7664508,9365281,412583,29069760,1393245,105975,13009450,4880,11623360,12173180,203036.4,9580650,32970360,3454069,25042030,1630688,45484564,2974507.5,5826474,4575204,34135020,24186530,4226.136,19648730,4745807,2492024,540227600,14,16593790,45221840,107525.5,S
6845270.5,1274667,9246930,2740588,5281176,427110.4,1238010,2206.4,31285700,1365.24,6252067,4183004,2952880,10340740,15383470,545701,18766740,467470.4,1063660,2832384,83506.5,13284810,2892133,488884.8,12167140,10495180,2369720,25446460,1768041,73999176,6160985,4535863,2847635,16560420,50398680,11534.41,56263120,1936782,2660595,2166000000,14,29901540,110236800,73706.38,S
13156740,1881873,26068330,3329281,3987269,301933.8,4059416,88996.8,21066450,1587.2,6182405,1285929,3241731,6852990,10907960,1608677,37843210,2528078,1562613,17923130,19505,13271260,37983400,581790.9,15037890,49113300,6184252,46034600,575835.3,70151860,3909770.3,16374420,3890930,34654535,84370380,5875.773,17632490,2708046,2218849,5125774000,14,24442580,78329800,211339.8,S
14162320,2388970,18863070,2658773,1761378,210361.1,1298076,6376,24739710,1904.64,7515017,1781801,5189213,6302356,8917726,496417,29228800,801814.8,1063660,8392189,1505,15081760,19865240,548978.8,9040031,23002080,6240478,57359000,933704,45108910,2630486.5,7609928,5493616,57880550,44099030,2081.955,26626800,5455736,3140149,303098000,14,30966560,35422530,74646.38,S
8019384,2458501,11961710,1475586,5370488,179794.5,1309974,78065.2,13504240,399.28,4554393,2399565,4252440,8315282,12274010,934388,26217580,1292922,497806.3,8497766,3335,13271260,27583000,462757.6,9287369,21448640,6062332,66804170,1763730,34764604,4263694,10339940,6545720,90826780,13038320,1442.636,3637638,3740682,4850215,27442450,14,30352090,16894640,64080.17,S
6845270.5,1507655,9454755,4276457,7038662,220400.2,2395690,7873.6,31873050,5691.6,3990676,1569963,5509999,8904275,17594360,618965,32887010,3141585,141059.4,32734660,144820,13932770,39149830,677251.5,14560810,44929320,12775660,111138200,451864.7,38017140,4977386.5,5726881,3890930,34654535,70826980,660.54545,62595460,3638818,3681880,7343286000,14,41964600,31901670,139625,S
8606834,1959561,5440096,4649204,7594451,201628.4,2029737,887.6,19424280,16370.48,4908426,3055966,3312694,5640938,10401830,529334,24984940,2001033,507406.3,8832436,76185,15352540,20035250,79381.82,8660206,25573200,4189285,25878830,659942.3,36323564,3343937,7484346,5720294,47856040,5182681,1016.636,4897934,3578943,2225808,270800900,14,12125900,19423680,75155,S
5723406,1553749,5116426,2491558,4194012,224472.2,947487.5,2754,18336400,1966.64,3758037,1865580,1474865,5920940,6393875,357623,29358440,2193978,35203.13,11705870,36815,13304730,19461110,231248.5,7416000,30516400,1464930,8168722,234810,34644476,2054525.9,2876089,3460295,20601830,6129958,952.3636,1117524,2621337,1322879,464194800,14,7017170,15824890,32093.96,S
2868832,1030469,7308872,1251257,6371207,247728.5,409888.6,79.6,11051840,46139.16,3080648,1380136,1421039,6012894,5597318,447413,15755530,2535630,1935769,11058890,111835,8918710,6509422,46293.94,6380363,18110550,1372261,5815784,434954.7,37457150,2671072.8,3902350,3661079,14969380,5087176,664.7727,2948430,2082258,1164821,408145500,14,8370720,34690510,48815.52,S
7598204,1687024,3466626,2525908,4262330,220400.2,1313396,7567.2,14093770,19186.52,3621415,1541398,1907168,6052748,6754036,750748,23985170,3706289,2810641,14569540,319100,10830930,15028870,629930.3,6913081,21123700,2358160,10429240,356846,39447244,2576447,4904104,3757463,23889040,17325960,656.3182,8329896,2443660,1188450,1867922000,14,10693200,26505180,55728.1,S
4559546,2162552,5920218,2060934,6746240,194661.7,586412.9,6550.8,20038100,9430.2,3541322,1130072,1400329,4831675,7919884,638307,15366500,1990615,3319860,13456230,253080,13271260,6963367,301778.8,5910499,22551440,1474963,20309660,520054,30445692,3032500,5115005,4122682,20044620,8130682,892.8182,11368310,2268410,1438805,1091240000,14,10137880,55325400,74205.69,S
