ESRP2,PTB,SAM68TV1,SC35,SF3BTV2,SND1,SRM160,SRSF10,TIA1,U2,U2AF1,U2AF2,U4ATAC,U6,U6ATAC,Clase-enfermo-sano
4899903.08803477,5878928.40603855,15630056.2184439,2459429.2313591,21267925.1398254,13576236.9604607,6966443.59916397,11819238.1131326,3569121.49128382,220314145.200137,4619151.4854938,1248318.37173266,406.915872539948,27569655.1239024,48159.5978150575,E
5870158.55625628,6359236.00738895,28740870.7468341,3644058.32232442,8860175.42653197,23962437.2200405,10377549.0027359,14262928.4551407,1772454.22309713,12858291.0447279,6145416.2988783,2054265.91399049,17.8768095753529,4513505.37341984,14044.8285692437,E
5219269.5506155,5423183.17686187,20234368.3009336,1924719.24527534,19834719.1605066,15776494.4769569,8240920.33662157,9187237.98229423,3865011.86011544,127699095.18561,4953041.35515611,1220773.49742795,135.888505133087,23917543.7030217,64054.3595087787,E
3922599.94874107,3811191.03290333,22153901.8090555,2059944.5036636,12603715.0976868,14930178.0079428,8961117.08533921,13199864.7860008,1761645.88493688,40336404.3169915,4141287.77923787,1244031.00029484,36.7053464634184,8897526.34033863,29114.0749758043,E
3333433.06363449,5352274.70634076,12730771.7420734,1400807.59027696,19381903.3706147,11522491.1964536,6499274.67266467,12170655.033109,3102126.00224862,222120236.0597,3542790.58709486,985082.105993051,505.303286090393,24454098.8629491,75666.4398078503,E
5727274.55576419,8227467.04292357,32942342.3494195,2953440.6052836,18794511.7158002,15438131.9780793,8435438.02816202,13247852.1604656,1069535.20797289,93581374.9944729,6706517.66317182,1310445.83030713,55.5686158030234,8396685.8291658,44596.5928013479,E
4765487.10773636,5299846.58608369,21076053.4181237,1726067.46643175,17176836.8565089,17776338.1398704,11100353.0330559,11345457.2629068,2667594.93534033,140803841.663262,6116473.13569344,1576488.5032436,123.520101283183,20030908.1470762,41419.6616003982,E
2901043.64790827,3594884.32426429,17134344.3829102,1067908.23973194,38869772.3796932,7989705.90561498,7072092.3252216,12607681.0263079,2148396.03550622,864418084.932814,5315708.62441951,789274.578836202,404.94031868654,42177565.4626015,79986.5540829101,E
5555750.97825591,6157306.56368376,25275491.103458,2084706.74687832,19688687.9142752,15342280.5239178,8060142.70403692,10588269.8219606,1572397.76719213,398267413.548703,3978156.17905066,1096667.52945809,428.622724028585,19471905.5469683,43220.314735501,E
3731738.68659419,5228540.91080683,23174195.8608147,1748117.29066686,17224311.3673088,16144213.05725,14000782.2651922,13066114.1933424,1853707.68783134,74543531.7852924,5045502.9254042,2048455.43039584,10.136950234775,9373844.66550507,38854.8229286173,E
5781961.31665135,5680450.32445382,25332982.6922141,3350026.89720321,8638120.57148294,17520773.8979204,7470672.15837233,12384191.7955007,1168504.86143119,57856759.6984601,7867062.69096863,2060854.49920466,730.075167122368,16021338.4482431,39480.9751366783,E
2302508.20991378,6049384.96789338,11218380.4438448,606787.671490081,15140537.5026242,7086711.90853685,7244932.66319398,12278678.4549148,1572397.76719213,94821143.9037427,4956361.60724742,273768.053316433,1632.84290840908,16021338.4482431,189025.843187334,E
3481107.9140969,4645193.30434829,14222792.2109944,1645833.91167458,11162104.0506775,12385867.8905862,6593995.66174687,8439726.51787079,719291.488943619,94821143.9037427,3136559.84613308,1009935.55877513,37.8278493195939,13246414.8147284,24259.7566877795,E
5442751.33779724,5400281.66334765,23474906.6430763,2432349.64042137,19098824.2362907,17898031.4164119,8713350.11862117,11096901.5418367,2464394.21072204,330568118.272932,4521672.27032245,1274480.34035665,300.103864564811,21667537.8238343,65686.6417711489,E
6198544.35881477,6582860.28592343,21901440.5860578,2622961.77120064,14328650.0197307,16360333.9597228,10815145.9323181,13602942.3910089,1045380.37027578,34965900.229891,5663817.71080952,1861981.92649578,43.5458612902704,19019940.4957839,30611.8871264319,E
7720491.79551263,5731441.09912161,18815612.5841293,2740949.18545582,9123797.93969232,20735820.6013248,8569742.16849926,10342502.4342863,1012691.54339398,54785063.9242622,4854830.70117692,1811130.76673533,12.4435062145948,6512136.4431286,25593.8231277559,E
5985712.45353455,6160042.56738866,24424814.4484733,2538327.03834632,15973620.672532,17389558.1140744,11973250.9744163,12821666.0255273,2268963.85618271,35802830.3659886,7036703.25376449,2379197.8417014,169.002896038764,11642864.9497726,52256.343146543,E
5193870.91228972,5523682.03917403,25357590.3653668,2267579.00626183,15140537.5026242,16388374.3732516,8251054.63771931,11957937.2317575,1839358.80316794,174892238.172904,6153944.64496536,1749954.22224589,300.103864564811,12813026.0035545,101816.563770029,E
4758618.29411385,6284550.85431186,19787862.3074976,3112167.42836545,13684736.1767482,12862027.3687724,8597047.15603194,10741809.0822664,1284895.76820483,381410698.036723,5153409.20326916,1170829.67993997,1377.63064535356,17263215.0974086,132870.109124475,E
