CA150,CUGBP,ESRP1,ESRP2,FB11,MAGOH,NOVA1,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Clase-enfermo-sano
3159869.63497999,1063914.80783516,403185.072323899,686942.387235717,1893836.87323812,240457.358775654,387742.452129745,1691134.58657034,3044.10242979095,3573911.18714294,252319.517481775,1816330.27858333,2905000.03093106,3656056.78289613,207072.708672407,3877441.25084003,636029.239983054,418634.683844376,18477506.0081111,2596.3716732515,4816660.63490089,7381524.14113656,100512.35951271,9587759.94860625,19056699.0608034,525994.434948478,14857560.5788801,377414.922515643,28199000.0553729,1049899.50774551,1609256.56401538,997897.96647905,10049546.1758673,101013669.194918,3488.14632508685,1038946216.77203,6093657.1823372,190065.033564677,3575726583.039,3501.14256675279,4123975.01991774,8276213.32055447,201083.776476975,E
3159869.63497999,3183484.9420831,504755.698674878,9680531.03891593,8318536.94923372,641507.770243261,387742.452129745,16095588.8137731,3763.88591410359,8653519.62265904,670553.372928592,2751201.29246523,4133689.64941534,5685125.80006501,313712.337853469,28948605.9870936,4010827.57901858,1749839.17867249,9624153.45842389,104174.049211707,20074123.458851,9726758.28961395,154945.732480655,14231554.7032003,22099688.5582369,2754752.45171231,35117780.5099771,2075098.47686464,25970335.753048,869299.382216935,5013860.77095209,3830511.51815625,18366298.0579154,9256739.75154558,111.074310095008,51032670.5869513,7333654.55665592,2283435.53916632,146833071.703975,3.53773147611597,24135666.0331805,6640212.99831017,15993.4874625185,E
2733982.26573556,3176750.64049663,437767.410406476,5654954.93325688,6794394.00548467,469617.700306612,299002.561281375,11092377.2547736,5039.75777287268,6491164.67079097,440321.975120803,1992501.04970424,3865785.41696906,4515194.64757557,256353.25132965,23170066.9687089,2630690.09502463,1068244.11904128,10054437.9109779,52381.1947456349,18164542.9835265,7571980.55378979,133768.089751696,10844260.0916684,22055854.1025192,1849514.53262363,23466915.6429445,1147950.42442695,30485148.7104675,1026598.51019685,3418054.80776906,3452250.1966959,14681653.2228736,15920586.4035945,61.0671323718159,144131702.40202,5940156.58330153,1284506.40929325,752625030.458166,149.684919015716,16312554.632201,13067961.373229,44884.3423392907,E
3417189.85503922,4716835.93986891,251368.437965834,9640063.8169887,8289435.4599142,694719.937879273,556536.243096409,17345050.6514712,5030.84756285618,7598251.70821141,922798.90947868,2754415.05907613,5625907.76107442,7820158.71204672,313712.337853469,31574712.1846019,3643359.06320278,1535945.84453783,11416702.0073843,79170.3137709703,29921576.1263432,12854397.1061982,76383.2949910359,13969990.0991435,46446914.227147,3881740.25588802,36354028.5784398,1607455.84076645,57974814.0970524,3232008.276991,6050152.12625119,6368110.97580732,57035919.1224569,11555904.3391348,764.919933705659,34143350.1588915,7810922.87042783,2386295.74705448,952845224.619383,31.5731404725749,20976235.4552469,7288570.94512741,21263.0868164212,E
2285001.22606054,2709486.22997484,258193.69102688,6883841.03747021,5955443.45367269,517310.621214358,300798.657633634,14299989.5623072,9748.24184220659,5526804.96925444,657468.702954454,1903553.93465179,4003559.83494604,5587968.61637507,319438.738363803,21736600.6923876,2691970.41903719,1308747.94942857,6813102.97786432,82915.9724782076,17200358.0926864,7699929.22907181,83447.6123919973,12929875.2836838,20291538.3423535,3629238.72197139,32748341.686438,2518852.64692657,29527677.8418317,1001708.85996968,5011048.17785082,4766564.79079623,23521933.2884929,10106146.7558148,239.441447646687,27312887.6661484,5887643.72765039,2232406.2198324,555540696.722054,8.19984401199378,22301513.9499892,8029819.86385478,15573.2378632051,E
2066161.24846289,2632557.07458386,147677.073926441,9416387.68453906,5714954.00171896,729505.754116919,177184.438671065,13897705.494492,6942.14153192808,6341807.37703307,843659.334167712,2467618.3032162,5130230.85958479,6346650.01560125,328321.984193171,24106243.030833,2818585.38668833,761368.311155944,7038016.32985724,37354.2815791634,22721721.1941264,10323544.9576999,31743.6749778221,12174516.3788183,32948399.6096539,3597160.80387629,34323274.4187966,4168449.19608537,45795705.593267,1713327.40623487,4188983.19759224,5487648.12804094,27583622.482049,9482093.85279589,546.793598310896,15251330.4607724,9290930.79831764,2659086.81993345,425857426.306106,35.3877817857055,18362617.6764336,8276213.32055447,24284.8931182841,E
3424772.30524642,3010313.14798892,403185.072323899,5253474.48283252,6413619.35244276,381206.004195533,617970.992434681,13022429.7215492,5371.44537700018,4827126.38937094,644893.193753259,1971572.3930497,4789041.28856115,6698668.33322847,379478.552193473,22654501.9326816,2799179.48815691,1401365.00509063,14745190.0436382,53945.924035012,15666251.0823598,7987711.16008509,100512.35951271,10650554.3110378,33067604.9385323,2640588.66211693,33041290.1871001,1380522.26905652,46700314.7182353,2063390.86236905,5897284.67024217,4463632.34898785,45895653.5850681,34619175.6087497,805.924171598334,156099608.484883,5738722.37743298,1599516.67049622,1694085324.24736,657.621775117704,20093409.9155208,17794363.86227,38416.108686222,E
3918057.65529799,3521665.08284081,692078.90444077,5667150.35695907,8415550.90211711,494270.932570621,931641.450013829,17131735.1842539,8365.29597487989,6039706.22604733,796053.224286075,2167976.37176639,5564703.18632573,8724634.56511055,309637.938281244,28340969.6979035,2506564.90203004,1991804.25840325,12199975.3225844,80964.8504288953,17415655.375852,10543263.1906694,197316.86073204,15573481.6567359,36334688.7899596,3031643.62332139,29022089.3579969,807506.676130847,34861133.6099196,1959207.86397456,6228159.35224033,5605523.61591744,31224919.4344586,16680256.4915572,594.695468818931,48755357.3225229,6633452.97408393,1652350.44218527,410072708.770098,36.1343529513054,20430396.2476955,7492185.40272665,16353.2873891034,E
4195919.92120231,2778577.67800215,1112776.3202316,4483620.11261513,7684760.53705834,746457.821617112,558318.977162447,12546847.192448,7432.49702382917,4849730.83998333,567592.962760504,1559811.502826,4857152.47073987,5907785.59096123,361225.710011036,24522235.6316202,2255038.52858549,2624724.64341879,9151255.54054303,67161.4437664286,13562606.335832,10898971.77162,405613.659691375,12139674.7853686,27638898.4988598,3300854.59845524,34716774.1070399,712581.139656351,34431415.2893044,981871.194033707,5940948.22664656,5811624.60605175,20564855.870133,26243461.5643686,3738.99201807498,15765621.433403,5474519.80869675,1482297.5812572,797638091.125019,58.4638101992744,18666779.7140424,5470431.47304992,23969.2677536437,E
2024827.8487761,2882676.04991858,268934.593916413,4790806.93926911,6769564.08500868,458720.139296433,220479.651084402,12942623.7171104,11469.239004952,4721680.87299074,456361.459174612,1573388.94921727,3977940.74606064,3319146.52118733,283556.534127741,17126184.0352528,2427875.39594173,1772174.98875846,6561042.02230125,150820.496495509,13213763.6587617,6968223.47738073,97415.3229713658,11491405.6008481,14759760.3199875,2442252.40932866,19105323.8973072,964291.687818956,29063109.9778134,775847.568079922,3811810.70908137,4355193.68877035,12626054.7605971,7823499.83189001,45.954685756662,17259790.7630837,4768672.0571524,1344939.46447587,573262254.500422,27.3469517696873,13751762.0044097,5223372.95753867,18371.7527777601,E
2808829.39528648,3407864.87990322,469248.328362768,6852043.23571391,6670649.12635968,440094.169066698,225641.394570648,13009647.8131645,5261.96155886537,6103896.65454344,552078.279975934,1827668.59224081,4855795.68450882,4333980.10886378,327384.069325891,24311779.9165894,2293767.92106024,1369377.62408935,10382287.1423158,67161.4437664286,20919326.4276701,8613578.41015678,116800.342720623,11702771.5400528,23115989.7471034,2169245.37166524,26056766.0285397,1124406.63852284,47544387.8797257,1206211.61120397,4031220.18286556,3865117.37687416,17294577.2506687,17779576.1066466,1043.3789086907,138782826.84003,6140362.13117768,1387646.33490182,1425061176.82499,55.5686158030234,15485804.8502575,12568766.4141544,40569.9054473636,E
4570991.99814561,2788898.10702872,837629.624356096,4899903.08803477,6769564.08500868,494270.932570621,364982.580332027,12651403.7094462,3948.18846793998,9758193.70242289,566119.144172162,2411059.63577338,5976956.14389937,5022387.79666826,715262.225063564,35766213.6579964,4411369.32988433,2308490.25559782,13751152.7247368,85984.1836262162,15438131.9780793,9654360.11746357,341324.264142074,17790980.3697477,31461544.5203008,2672159.89252108,31067387.3106282,1205626.32853902,40857755.7915127,1003428.09862287,6021969.36247013,4488170.00771494,16089641.242343,13565597.0337477,466.927993399987,42638114.5884289,6570251.23547262,1800435.89932761,1154182267.20253,50.8042531551906,19454031.7758439,8025797.6272496,22034.5708533895,E
3954804.34184008,2880237.50333154,500625.439434274,4899903.08803477,5447854.87735084,442362.094466266,433091.869918318,10492092.0002985,23096.0696318903,5878928.40603855,477709.455966989,2127553.36366274,5955479.45447456,9015413.17824059,472364.699912873,15630056.2184439,2459429.2313591,1740691.59891517,21267925.1398254,50972.4805922826,13576236.9604607,6966443.59916397,68657.4372893573,11819238.1131326,30097536.4582261,3560884.3970807,44721359.7486119,2027857.78813983,35318725.6876381,3569121.49128382,6095535.82798358,5917451.79426858,43000449.2699167,29765313.8504744,1238.51026150081,220314145.200137,4619151.4854938,1248318.37173266,1799473333.69567,406.915872539948,15684263.4405558,27569655.1239024,48159.5978150575,E
2624362.80993947,3712308.0425371,276690.613761265,5870158.55625628,6859581.1853319,534985.583815574,338693.387216932,14875283.7494757,7204.4230213345,6359236.00738895,766062.910690746,2099179.65778625,5599717.33427584,8109955.18654492,537592.1142088,28740870.7468341,3644058.32232442,1973195.43721485,8860175.42653197,108298.489498216,23962437.2200405,10377549.0027359,71973.7849563159,14262928.4551407,36953728.5983083,3576697.80696003,25963505.3983797,2465818.28510502,50027530.7400515,1772454.22309713,5478132.61967973,5919917.03138351,25154345.9243128,7107461.52761506,475.25434864145,12858291.0447279,6145416.2988783,2054265.91399049,620023148.663173,17.8768095753529,15626644.5831788,4513505.37341984,14044.8285692437,E
3735142.77203849,3475635.67662872,534090.46523577,5219269.5506155,6918889.5355886,402452.621416741,596533.339975742,11962977.0268707,5066.8873465123,5423183.17686187,441010.381202979,2143592.35678622,6123041.08419467,6156645.42437254,519463.917105129,20234368.3009336,1924719.24527534,1350185.37916824,19834719.1605066,37789.5031496553,15776494.4769569,8240920.33662157,168983.612527612,9187237.98229423,37611896.0566438,2565454.83194297,39415481.5505678,942596.637581286,48039552.0942757,3865011.86011544,5176167.55879724,5214684.84576958,50869086.0581262,34613977.0627649,4443.86231579113,127699095.18561,4953041.35515611,1220773.49742795,2600451254.39623,135.888505133087,11648897.4786855,23917543.7030217,64054.3595087787,E
3332285.97466668,2753823.61545267,663384.282336309,3922599.94874107,5631716.29038218,764518.534187095,584010.694801534,11944386.0201593,1704.16198459643,3811191.03290333,337277.476054363,1498582.50636828,4969732.65091279,4624166.24258836,265209.618235421,22153901.8090555,2059944.5036636,1667724.62334211,12603715.0976868,66258.673046039,14930178.0079428,8961117.08533921,253752.600043026,13199864.7860008,30198611.6284947,3336734.6908362,33590004.0239098,740442.06239751,37172454.1494782,1761645.88493688,7616801.0377327,5272757.07657312,27186106.3105032,43858648.062824,626.202459624892,40336404.3169915,4141287.77923787,1244031.00029484,2512306447.70948,36.7053464634184,16723785.7652534,8897526.34033863,29114.0749758043,E
3794805.37939344,1988717.10060535,588117.608136423,3333433.06363449,4767437.40969303,388841.038096675,508973.99579249,8884893.33770036,25818.5980180827,5352274.70634076,398331.670381475,1920382.59313033,5695992.42765302,6420588.8539638,322303.346016405,12730771.7420734,1400807.59027696,1370910.15529534,19381903.3706147,29212.7824438129,11522491.1964536,6499274.67266467,162176.24590265,12170655.033109,22177242.3142504,3124432.98389925,42568667.4186635,2985758.92948057,35270833.7819165,3102126.00224862,4424528.7385259,4346668.395388,33352892.8337291,61086618.4067996,3165.99506788401,222120236.0597,3542790.58709486,985082.105993051,2673962986.85413,505.303286090393,14841746.5762546,24454098.8629491,75666.4398078503,E
6609006.96779489,2544592.43535308,588117.608136423,5727274.55576419,7576391.92081504,570219.983999773,391945.460078187,9608966.65546728,2256.11286619435,8227467.04292357,562946.266027376,2497433.06850807,4901065.02820795,10780151.130154,262887.738451689,32942342.3494195,2953440.6052836,2039858.72240765,18794511.7158002,75526.5835355075,15438131.9780793,8435438.02816202,353776.463529447,13247852.1604656,30117026.5501358,1733303.25262771,49778338.1385677,1015313.58946602,37719289.2724964,1069535.20797289,8562968.02158694,4412214.46725738,28239177.0664749,24802615.2459744,1599.69031322112,93581374.9944729,6706517.66317182,1310445.83030713,2536602727.45911,55.5686158030234,18907813.9321054,8396685.8291658,44596.5928013479,E
5094216.03494837,4074674.51413542,807447.687426106,4765487.10773636,6440411.96549414,504277.685354983,773878.420316568,18334976.3453393,1699.47430281307,5299846.58608369,589798.092917991,2127468.88447441,4874800.97732731,5450472.45516142,614856.33109245,21076053.4181237,1726067.46643175,1119941.78712163,17176836.8565089,54554.5076555661,17776338.1398704,11100353.0330559,303872.671508234,11345457.2629068,32151514.0982458,3390232.17010683,48529249.9437031,739919.804372326,38912860.2028687,2667594.93534033,9327536.35716853,5326889.13702428,27186106.3105032,68966513.742525,3685.16259578412,140803841.663262,6116473.13569344,1576488.5032436,3910090884.71407,123.520101283183,25526107.2807774,20030908.1470762,41419.6616003982,E
9001826.08617307,2645591.86007209,2798308.50864047,2901043.64790827,4423994.7260734,297833.761999353,1733224.30293525,7209362.19855743,3029.06562468476,3594884.32426429,381286.423859679,1627256.63559426,4822927.84864882,6733859.19842434,454513.121806865,17134344.3829102,1067908.23973194,919704.468174204,38869772.3796932,27975.2564752346,7989705.90561498,7072092.3252216,698879.559341157,12607681.0263079,30331671.6817313,1771783.91004608,51880810.3809676,590293.244910655,40158555.6312502,2148396.03550622,12322623.346337,3530563.06413522,65398300.2705584,158034474.003933,1059.18438526739,864418084.932814,5315708.62441951,789274.578836202,7907914264.15665,404.94031868654,23500039.6406549,42177565.4626015,79986.5540829101,E
5349906.94297109,2631944.70517328,1404568.62640013,5555750.97825591,6521128.28022336,619347.241409734,727133.012132479,9304243.24480532,5499.58485331393,6157306.56368376,406600.482260062,2385614.74082028,3826810.01968043,6952703.4079301,333577.661854775,25275491.103458,2084706.74687832,1665931.1482036,19688687.9142752,75141.3561218799,15342280.5239178,8060142.70403692,490787.055200806,10588269.8219606,24727880.8948724,2401217.09368349,36994375.5287157,729329.773397736,33547904.6566156,1572397.76719213,8521187.23236327,4120031.20888147,30447790.19668,66629665.9059377,214.666167162871,398267413.548703,3978156.17905066,1096667.52945809,3311180661.85712,428.622724028585,19935244.5562946,19471905.5469683,43220.314735501,E
12859232.1536647,2439698.93408869,2884966.38027415,3731738.68659419,5837208.08313608,460530.309894923,1447092.21399791,13317866.4887632,1979.95188771709,5228540.91080683,444271.399489886,2643849.57098814,3766558.15847192,7868298.22323878,559356.497810045,23174195.8608147,1748117.29066686,1012347.68054669,17224311.3673088,52310.8583332208,16144213.05725,14000782.2651922,1148074.78830582,13066114.1933424,26092702.4110047,2358587.88838731,32129600.3648117,966552.753515894,23605366.4439699,1853707.68783134,14274521.1971708,4871095.42941441,69979920.2635288,208897112.861742,1324.4688388515,74543531.7852924,5045502.9254042,2048455.43039584,2199021639.44664,10.136950234775,17691128.7488314,9373844.66550507,38854.8229286173,E
2112036.90434664,1961801.95139012,255546.875572916,5781961.31665135,5276616.66176304,641935.958604315,261413.876068868,8911537.16601796,19758.5868613534,5680450.32445382,555314.58065508,1841052.13018714,3726500.87127179,6679684.00789391,396714.929281201,25332982.6922141,3350026.89720321,1153403.9084187,8638120.57148294,46968.243356376,17520773.8979204,7470672.15837233,55958.1685661748,12384191.7955007,32410460.792082,2122080.44041465,26540929.6011674,866045.262783679,37908781.5819296,1168504.86143119,3947352.53568418,4431948.14100586,17831470.5970772,20583469.9639224,1241.795462683,57856759.6984601,7867062.69096863,2060854.49920466,803990918.309901,730.075167122368,15067322.7369896,16021338.4482431,39480.9751366783,E
4217027.97595108,2320711.95315002,741975.328642748,2302508.20991378,2876763.88114548,375265.075451077,2299246.86653183,4168081.37869852,15052.122360652,6049384.96789338,159018.013972494,2186405.15764174,3815519.36142951,3677007.22191325,276623.169978243,11218380.4438448,606787.671490081,965825.59568548,15140537.5026242,12986.6719425712,7086711.90853685,7244932.66319398,2343720.49633982,12278678.4549148,21221504.0973251,1106051.13761679,49580674.7806258,546529.626411226,33174321.6154288,1572397.76719213,6478464.64351,2620719.81230866,60948080.9596549,186105633.824449,1241.795462683,94821143.9037427,4956361.60724742,273768.053316433,1695953747.62557,1632.84290840908,13337934.3097329,16021338.4482431,189025.843187334,E
4063684.23596542,2017068.02017172,1257102.66296761,3481107.9140969,4927236.68612322,336592.92621132,534543.384120683,9232960.44488257,3024.22295798679,4645193.30434829,257085.6203102,1051809.74407738,3506595.68354401,4559087.11870366,272711.437818669,14222792.2109944,1645833.91167458,1034710.08933688,11162104.0506775,50590.4722192043,12385867.8905862,6593995.66174687,517191.208966088,8439726.51787079,20417704.5198607,1390396.84113321,23413805.4138641,618357.23264579,24013396.8211815,719291.488943619,3261153.99366821,2838987.55820364,16378612.6089014,34838217.1904847,28.1104840073963,94821143.9037427,3136559.84613308,1009935.55877513,549661204.938354,37.8278493195939,12581160.073343,13246414.8147284,24259.7566877795,E
3741455.11440444,2574988.24397622,741975.328642748,5442751.33779724,7681657.82996772,768907.391079058,468678.46782269,9212199.23876749,8023.83266294682,5400281.66334765,533522.846577083,2231174.00893424,3815519.36142951,5732513.46870787,705345.613118458,23474906.6430763,2432349.64042137,1883473.34713397,19098824.2362907,75010.0113940325,17898031.4164119,8713350.11862117,208932.613878906,11096901.5418367,26657174.5666182,2389358.10454539,32129600.3648117,887178.167492606,42653761.4283764,2464394.21072204,5908120.75757066,4468460.40755032,28691464.470547,30586507.9334828,4363.9087567161,330568118.272932,4521672.27032245,1274480.34035665,3392775590.53948,300.103864564811,14968737.1265733,21667537.8238343,65686.6417711489,E
4217027.97595108,4357634.53764095,620139.96241205,6198544.35881477,6531974.87820736,638001.527690464,397478.266877272,16447708.0037603,2850.3125388835,6582860.28592343,613070.399353486,1896056.18164788,4895198.92579206,4885274.94189559,538705.308053656,21901440.5860578,2622961.77120064,2276281.4496544,14328650.0197307,132863.806531214,16360333.9597228,10815145.9323181,259631.210602804,13602942.3910089,21674443.3281956,2640201.94888593,20250965.3750359,598049.339519833,31201020.4011009,1045380.37027578,5099125.46472267,5202981.25471128,24496352.9248806,29342252.3357136,1366.62128967449,34965900.229891,5663817.71080952,1861981.92649578,78322830.2451418,43.5458612902704,17691128.7488314,19019940.4957839,30611.8871264319,E
3042561.4718373,3426470.41110475,488695.234251969,7720491.79551263,5615295.46957922,522316.507867597,327706.221892753,13619380.4206333,4711.0777735794,5731441.09912161,646626.066440466,2121260.05616476,4007927.43980331,4136107.49511357,250959.494518217,18815612.5841293,2740949.18545582,1413085.35662884,9123797.93969232,78107.8454360067,20735820.6013248,8569742.16849926,130719.096989187,10342502.4342863,17936525.9617115,2136951.03446757,27142894.0912523,1394947.92498411,29667585.9926645,1012691.54339398,4650517.87888891,4528561.03079004,15743921.1623464,10272517.755734,222.883027117094,54785063.9242622,4854830.70117692,1811130.76673533,345881856.220976,12.4435062145948,14280447.9469382,6512136.4431286,25593.8231277559,E
4703912.6516284,3672234.15696763,585555.137971693,5985712.45353455,8173486.97305632,732412.709613125,560065.252803011,16568736.6665151,17651.8699737136,6160042.56738866,714224.44553277,2427888.67246898,4175280.74973459,5833926.25363217,806710.121671163,24424814.4484733,2538327.03834632,1729308.40144725,15973620.672532,168699.980031524,17389558.1140744,11973250.9744163,123053.186943718,12821666.0255273,35469045.6646931,4093527.82072702,51928928.8708665,1230106.04838939,39483521.0257469,2268963.85618271,11636658.7017316,7081602.49576363,59951139.3256006,26818397.2265669,2950.82339663782,35802830.3659886,7036703.25376449,2379197.8417014,1695953747.62557,169.002896038764,27120124.2194638,11642864.9497726,52256.343146543,E
3567869.57217886,3830743.35849358,691514.662209086,5193870.91228972,8050464.94472531,657875.415894394,368490.537150762,12780279.8316705,21780.4228480109,5523682.03917403,489396.55496425,1724568.74087638,3602594.27568404,4435946.35877913,747450.198353899,25357590.3653668,2267579.00626183,2800696.04659639,15140537.5026242,235884.527423559,16388374.3732516,8251054.63771931,237792.069593796,11957937.2317575,27942010.5918417,2358587.88838731,29843081.0711864,866045.262783679,49481687.107134,1839358.80316794,5332460.09060449,5121104.99028883,29482926.1591027,32730364.0016109,543.238219404343,174892238.172904,6153944.64496536,1749954.22224589,2402125583.99385,300.103864564811,17943196.5301373,12813026.0035545,101816.563770029,E
